noise,experiment,methanol,x1,x2,x3,x4
1e-06,10,,0.137032812,0.100944852,0.00854921175,0.00857834211
1e-06,11,,0.155133613,0.149929858,0.00107507051,0.00864730903
1e-06,12,,0.137032812,0.100944852,0.00854921175,0.00857834211
1e-06,12,,0.172286639,0.169490211,0.00246352971,0.00831400497
1e-06,13,,0.307049188,0.217269613,0.00260535095,0.00949013686
1e-06,14,,0.172286639,0.169490211,0.00246352971,0.00831400497
1e-06,13,,0.132781132,0.147768282,0.00973555253,0.00963753781
1e-06,14,,0.132781132,0.147768282,0.00973555253,0.00963753781
1e-06,15,,0.276729266,0.114185609,0.00436864822,0.00973506172
1e-06,16,,0.276729266,0.114185609,0.00436864822,0.00973506172
1e-06,15,,0.199197673,0.151576525,0.00232179582,0.000259325065
1e-06,16,,0.199197673,0.151576525,0.00232179582,0.000259325065
1e-06,17,,0.193486344,0.245725144,0.00505497972,0.00199750032
1e-06,18,,0.193486344,0.245725144,0.00505497972,0.00199750032
1e-06,19,,0.280719787,0.249900365,5.70267929e-06,0.00815361415
1e-06,20,,0.190502223,0.24883765,0.00559555161,0.00933457806
1e-06,21,,0.117424985,0.24717593,0.00152163346,0.00867452444
1e-06,22,,0.230063878,0.116433894,0.00990055341,0.00958382073
1e-06,23,,0.315206915,0.184476934,0.005109332,0.00223941924
1e-06,24,,0.264398508,0.220448641,0.00741948591,0.00141811156
1e-06,25,,0.103489253,0.236302118,1.48904654e-05,0.00980033183
1e-06,26,,0.234406912,0.222435285,0.00395542591,2.74112117e-05
1e-06,27,,0.155881277,0.169557599,0.000584078989,0.00892480405
1e-06,28,,0.260056761,0.164193247,0.00051269776,0.00801815837
1e-06,29,,0.314567413,0.136208572,0.00184327956,0.00970889438
1e-06,30,,0.320797606,0.22172747,0.00628646225,0.00826782574
1e-06,31,,0.108849633,0.214482995,0.00138855607,0.00679626933
1e-06,32,,0.315767354,0.202067777,0.0028080527,0.006000033
1e-06,33,,0.166673357,0.101134782,0.00437106858,0.000872711553
1e-06,34,,0.202431734,0.248801981,0.00777328787,0.0091580683
1e-06,35,,0.251750282,0.116063194,0.00174471671,0.00169601349
1e-06,36,,0.24239045,0.240950561,0.00383159671,0.00749898196
1e-06,37,,0.215817469,0.223591218,0.00260239092,0.00930285764
1e-06,38,,0.258037911,0.152060859,0.00443332875,0.00632863823
1e-06,39,,0.26741238,0.13501621,0.00273240068,0.000653401601
1e-06,40,,0.144686286,0.188018399,0.00842562122,0.00195919299
1e-06,41,,0.274515517,0.204617641,0.000328685708,0.00906702924
1e-06,42,,0.147937791,0.153078444,6.81860153e-05,0.00899274326
1e-06,43,,0.288441374,0.130507157,0.0073217156,0.00798452166
1e-06,44,,0.192311843,0.241361016,0.00908015328,0.00280171679
1e-06,45,,0.22795245,0.139560625,0.00571850407,0.00546434169
1e-06,46,,0.147448986,0.207879299,0.00324038099,0.00379149066
1e-06,47,,0.247953226,0.237004069,0.00802404133,0.00403738648
1e-06,48,,0.247842057,0.196384234,0.00917453247,0.00301910351
1e-06,49,,0.231403304,0.108828104,0.00685154011,0.0077619814
1e-06,50,,0.23618631,0.202613271,0.00609511635,0.00995283069
1e-06,51,,0.123354077,0.168581314,0.00188457107,0.00920104367
1e-06,52,,0.253207805,0.163471456,0.0011278412,0.00435645978
1e-06,53,,0.234575197,0.215709688,0.00762399806,0.00293239952
1e-06,54,,0.255984647,0.102904775,0.00117077379,0.00344469767
1e-06,55,,0.234011632,0.151240297,0.00167242407,0.00709652847
1e-06,56,,0.163750282,0.224336783,0.00751743776,0.000657866789
1e-06,57,,0.101451452,0.182595057,0.00428478326,0.00538669285
1e-06,58,,0.1230321,0.174636714,0.00974883022,9.92532814e-05
1e-06,59,,0.219966747,0.219290183,0.00699218004,0.00942531995
1e-06,60,,0.293181798,0.164814643,0.00763584149,0.00669189386
1e-06,61,,0.198769161,0.137997435,0.00944292639,0.00356942741
1e-06,62,,0.300441812,0.213311137,0.00185181463,0.00832720753
1e-06,63,,0.329241207,0.100554041,0.0016057771,0.00135536086
1e-06,64,,0.174818497,0.129907575,0.00322414914,0.00624546593
1e-06,65,,0.135923479,0.136505625,0.00991640929,0.00391123287
1e-06,66,,0.10027932,0.186919392,0.00706079847,0.000960310519
1e-06,67,,0.283745528,0.185925515,0.00306768803,0.00558279766
1e-06,68,,0.210215944,0.129424334,7.88179305e-05,0.00758945787
1e-06,69,,0.213356037,0.115553449,0.00513110219,0.00387210195
1e-06,70,,0.318133067,0.128354203,0.00380605077,0.00131102936
1e-05,12,,0.155133613,0.149929858,0.00107507051,0.00864730903
1e-05,14,,0.307049188,0.217269613,0.00260535095,0.00949013686
1e-05,19,,0.280719787,0.249900365,5.70267929e-06,0.00815361415
1e-05,20,,0.190502223,0.24883765,0.00559555161,0.00933457806
1e-05,21,,0.117424985,0.24717593,0.00152163346,0.00867452444
1e-05,22,,0.230063878,0.116433894,0.00990055341,0.00958382073
1e-05,23,,0.315206915,0.184476934,0.005109332,0.00223941924
1e-05,24,,0.264398508,0.220448641,0.00741948591,0.00141811156
1e-05,25,,0.103489253,0.236302118,1.48904654e-05,0.00980033183
1e-05,26,,0.234406912,0.222435285,0.00395542591,2.74112117e-05
1e-05,27,,0.155881277,0.169557599,0.000584078989,0.00892480405
1e-05,28,,0.260056761,0.164193247,0.00051269776,0.00801815837
1e-05,29,,0.314567413,0.136208572,0.00184327956,0.00970889438
1e-05,30,,0.320797606,0.22172747,0.00628646225,0.00826782574
1e-05,31,,0.108849633,0.214482995,0.00138855607,0.00679626933
1e-05,32,,0.315767354,0.202067777,0.0028080527,0.006000033
1e-05,33,,0.166673357,0.101134782,0.00437106858,0.000872711553
1e-05,34,,0.202431734,0.248801981,0.00777328787,0.0091580683
1e-05,35,,0.251750282,0.116063194,0.00174471671,0.00169601349
1e-05,36,,0.24239045,0.240950561,0.00383159671,0.00749898196
1e-05,37,,0.215817469,0.223591218,0.00260239092,0.00930285764
1e-05,38,,0.258037911,0.152060859,0.00443332875,0.00632863823
1e-05,39,,0.26741238,0.13501621,0.00273240068,0.000653401601
1e-05,40,,0.144686286,0.188018399,0.00842562122,0.00195919299
1e-05,41,,0.274515517,0.204617641,0.000328685708,0.00906702924
1e-05,42,,0.147937791,0.153078444,6.81860153e-05,0.00899274326
1e-05,43,,0.288441374,0.130507157,0.0073217156,0.00798452166
1e-05,44,,0.192311843,0.241361016,0.00908015328,0.00280171679
1e-05,45,,0.22795245,0.139560625,0.00571850407,0.00546434169
1e-05,46,,0.147448986,0.207879299,0.00324038099,0.00379149066
1e-05,47,,0.247953226,0.237004069,0.00802404133,0.00403738648
1e-05,48,,0.247842057,0.196384234,0.00917453247,0.00301910351
1e-05,49,,0.231403304,0.108828104,0.00685154011,0.0077619814
1e-05,50,,0.23618631,0.202613271,0.00609511635,0.00995283069
1e-05,51,,0.123354077,0.168581314,0.00188457107,0.00920104367
1e-05,52,,0.253207805,0.163471456,0.0011278412,0.00435645978
1e-05,53,,0.234575197,0.215709688,0.00762399806,0.00293239952
1e-05,54,,0.255984647,0.102904775,0.00117077379,0.00344469767
1e-05,55,,0.234011632,0.151240297,0.00167242407,0.00709652847
1e-05,56,,0.163750282,0.224336783,0.00751743776,0.000657866789
1e-05,57,,0.101451452,0.182595057,0.00428478326,0.00538669285
1e-05,58,,0.1230321,0.174636714,0.00974883022,9.92532814e-05
1e-05,59,,0.219966747,0.219290183,0.00699218004,0.00942531995
1e-05,60,,0.293181798,0.164814643,0.00763584149,0.00669189386
1e-05,61,,0.198769161,0.137997435,0.00944292639,0.00356942741
1e-05,62,,0.300441812,0.213311137,0.00185181463,0.00832720753
